source_id,name,operator,city,province_code,lat,lng,status,capacity_mw,expected_online_date,block_reason,block_reason_detail,source_url
estruxture-cal3,eStruxture CAL-3,eStruxture,Calgary,AB,50.984000,-113.956000,construction,90,2026-10-01,,,https://www.estruxture.com/hubfs/eStruxture_Datasheet_CAL3%20EN%20V1%202024.pdf
stack-tor01b,STACK TOR01B,STACK Infrastructure,Scarborough,ON,43.697920,-79.266240,construction,24,2026-06-01,,,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-phase-of-its-56mw-flagship-toronto-campus/
stack-tor01c,STACK TOR01C,STACK Infrastructure,Scarborough,ON,43.697920,-79.266240,construction,24,2027-01-01,,,https://www.stackinfra.com/locations/americas/toronto/tor01/
microsoft-ancienne-lorette,Microsoft Canada East L'Ancienne-Lorette,Microsoft,L'Ancienne-Lorette,QC,46.806000,-71.357000,construction,,2026-07-01,,,https://www.datacenterdynamics.com/en/news/microsoft-breaks-ground-on-data-center-in-quebec-city-canada/
microsoft-donnacona,Microsoft Canada East Donnacona,Microsoft,Donnacona,QC,46.677000,-71.729000,construction,,2026-09-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
microsoft-levis,Microsoft Canada East Lévis,Microsoft,Lévis,QC,46.676100,-71.325100,construction,,2026-12-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
microsoft-saint-augustin,Microsoft Canada East Saint-Augustin-de-Desmaures,Microsoft,Saint-Augustin-de-Desmaures,QC,46.745000,-71.466000,construction,,2027-06-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
mihta-askiy,Mihta Askiy Datacenter,Sovereign Digital Infrastructure / Woodland Cree FN,Peace River region,AB,56.500000,-116.800000,construction,650,2027-07-01,,,https://www.datacenterdynamics.com/en/news/woodland-cree-first-nation-to-develop-650mw-data-center-in-alberta-canada/
upper-nicola-bell,Upper Nicola Bell/iTel AI Data Centre,Bell Canada / iTel Networks,Merritt,BC,50.112600,-120.786600,construction,150,2027-06-01,,,https://www.merrittherald.com/upper-nicola-indian-band-vote-yes-on-welcoming-one-of-the-countrys-largest-ai-data-centres/
prophet-river-abct,Prophet River ABCT Pacific DC,ABCT Pacific (VCC) / Prophet River FN,Fort St. John area,BC,56.246700,-120.847000,announced,,2028-01-01,,,https://www.newswire.ca/news-releases/prophet-river-first-nation-and-abct-pacific-vcc-ltd-sign-loi-to-jointly-develop-major-data-centre-in-fort-st-john-area-819620927.html
bell-ai-fabric-bc,Bell AI Fabric BC Cluster (6 sites),Bell Canada,Kamloops,BC,50.674500,-120.327300,construction,500,2028-12-31,,,https://insidetowers.com/canada-welcomes-data-center-investment-from-bell-and-telus/
telus-ai-factory-bc,TELUS Sovereign AI Factory BC Network,TELUS,Vancouver,BC,49.282700,-123.120700,construction,150,2032-12-31,,,https://dailyhive.com/vancouver/vancouver-ai-data-centre-demonstration-march-telus
telus-ai-factory-kamloops,TELUS Sovereign AI Factory Kamloops,TELUS,Kamloops,BC,50.674500,-120.327300,construction,,2026-12-01,,,https://insidetowers.com/canada-welcomes-data-center-investment-from-bell-and-telus/
bell-saskatchewan-300mw,Bell 300MW Saskatchewan AI Campus,Bell Canada,Regina area,SK,50.445200,-104.618900,announced,300,2029-01-01,,,https://www.datacenterdynamics.com/en/news/canadas-bell-announces-300mw-data-center-campus-in-saskatchewan-names-coreweave-cerebras-as-customers/
george-gordon-bell,George Gordon FN Bell AI DC,Bell Canada / George Gordon FN,Regina,SK,50.445200,-104.618900,announced,,2028-01-01,,,https://www.cbc.ca/news/indigenous/george-gordon-data-centre-regina-9.7103258
transalta-brookfield-ab,TransAlta / CPP / Brookfield Alberta DC,TransAlta / CPP / Brookfield,Alberta,AB,51.044700,-114.071900,announced,230,2029-01-01,,,https://www.datacenterdynamics.com/en/news/transalta-cpp-brookfield-ink-mou-for-230mw-alberta-data-center-project/
cerebras-manitoba,Cerebras Manitoba AI Data Center,Cerebras Systems,Winnipeg,MB,49.895100,-97.138400,announced,,2028-01-01,,,https://www.datacenterdynamics.com/en/news/cerebras-plans-data-center-in-manitoba-canada/
prologis-toronto,Prologis Toronto Area Hyperscale,Prologis,Greater Toronto Area,ON,43.700000,-79.500000,announced,,2028-01-01,,,https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/
qscale-q02-montreal,QScale Q02 Montreal South Shore,QScale,Montreal South Shore,QC,45.500000,-73.400000,announced,,2028-01-01,,,https://sustainablebiz.ca/qscale-building-96mw-eco-friendly-data-centre-in-levis-que
vantage-qc4-expansion,Vantage Montreal II QC4 Full Build,Vantage Data Centers,Baie-D'Urfe,QC,45.430000,-73.950000,construction,48,2027-01-01,,,https://vantage-dc.com/data-center-locations/north-america/montreal-ii-canada/
urbacon-dc4,Urbacon DC4 Barker Campus,Urbacon Data Centre Solutions,Richmond Hill,ON,43.903500,-79.383500,announced,36,2027-01-01,,,https://www.renx.ca/udcs-completes-320-million-financing-for-data-centres
wonder-valley,Wonder Valley AI Campus,O'Leary Ventures,MD of Greenview,AB,55.700000,-118.700000,blocked,7500,,community,Sturgeon Lake Cree Nation cease-and-desist; AB EAB water licence challenge; traditional territory dispute,https://www.ctvnews.ca/edmonton/article/first-nation-says-it-wasnt-consulted-on-wonder-valley-ai-data-centre-proposed-for-thousands-of-hectares-of-land/
rocky-view-ai-dc,Rocky View County AI Data Centre,Undisclosed developer,Rocky View County,AB,51.100000,-113.900000,blocked,90,,community,County council rejected rezoning after community opposition (SHARE Canada case study),https://share.ca/wp-content/uploads/2026/02/SHARE-PoweratRisk-EN.pdf
qscale-st-bruno,QScale St-Bruno-de-Montarville,QScale,St-Bruno-de-Montarville,QC,45.533000,-73.349000,canceled,,,power,Project canceled due to inability to secure sufficient Hydro-Québec electricity allocation,https://share.ca/wp-content/uploads/2026/02/SHARE-PoweratRisk-EN.pdf
qscale-levis-p34,QScale Q01 Phases 3-4 Expansion,QScale,Lévis,QC,46.676100,-71.325100,stalled,48,,power,$320M phases 3-4 stalled awaiting Hydro-Québec power allocation,https://share.ca/wp-content/uploads/2026/02/SHARE-PoweratRisk-EN.pdf
hydro-quebec-moratorium-era,Hydro-Québec Large DC Queue (pre-2026 allocation),Various,Quebec,QC,46.813900,-71.208000,paused,,,regulation,5MW+ projects subject to provincial selection since 2022; new ~13¢/kWh rate proposed H2 2026,https://news.hydroquebec.com/news/press-releases/all-quebec/hydro-quebec-proposing-regie-energie-new-rate-large-data-centres-adjustment-rate-cryptographic-use-applied-blockchains.html
bc-hydro-2026-cap,BC Hydro 2026 AI/DC Competitive Allocation,Various,British Columbia,BC,49.282700,-123.120700,paused,400,,regulation,Up to 400MW cap over 2 years (300MW AI + 100MW storage); competitive bidding from Jan 2026,https://news.gov.bc.ca/releases/2026ECS0005-000095
bc-queue-unallocated,BC Hydro Interconnection Queue (unallocated loads),Various,British Columbia,BC,49.250000,-123.000000,stalled,,,regulation,Projects without facilities study agreement must enter 2026 Call for Demand competitive process,https://app.bchydro.com/accounts-billing/electrical-connections/large-load/emerging-industries-connections/questions-answers.html
aeso-ai-queue,AESO Large Load AI DC Queue,Various,Alberta,AB,51.044700,-114.071900,announced,1200,2028-12-31,power,AESO interim framework caps total large-load allocation at 1200MW through 2028,https://www.aeso.ca/market/2025-large-load-interim-process/
ieso-ontario-loads,IESO Large Load Applications (DC-likely),Various,Ontario,ON,43.700000,-79.400000,announced,,,power,Ontario transmission upgrades required; multiple ≥50MW load applications in IESO queue,https://www.ieso.ca/en/Sector-Participants/Market-Operations/Transmission/Transmission-Projects
bell-winnipeg-conversion,Bell Winnipeg AI DC (food plant conversion),Bell Canada,Winnipeg,MB,49.895100,-97.138400,construction,,2026-12-01,,,https://www.datacenterdynamics.com/en/news/bell-canada-to-turn-winnipeg-food-processing-plant-into-ai-data-center/
compass-tor-expansion,Compass Toronto Expansion,Compass Datacenters,North York,ON,43.761000,-79.485000,announced,,2027-01-01,,,https://datacenterhawk.com/marketplace/providers/compass-datacenters/15-fenmar-drive/1057440
cologix-col7-col8,Cologix COL7/COL8 Calgary Scalelogix Pre-Lease,Cologix,Calgary,AB,51.046500,-114.078500,announced,,2027-01-01,,,https://cologix.com/data-centers/calgary/
yondr-tor-expansion,Yondr Toronto Phase 2,Yondr,Toronto,ON,43.700000,-79.400000,announced,,2027-01-01,,,https://www.datacenterdynamics.com/en/news/yondr-energizes-27mw-data-center-in-toronto-canada/
avax-one-calgary,AVAX One / BlueFlare Calgary HPC,AVAX One,Calgary,AB,51.044700,-114.071900,construction,10,2026-06-01,,,https://www.datacenterdynamics.com/en/news/?tag=canada
ontario-gta-transmission-cap,GTA Large Load Transmission Constraint,Various,Greater Toronto Area,ON,43.700000,-79.400000,paused,,,power,Transmission near GTA effectively full through late 2020s; de facto rationing of new DC loads per IESO forecasts,https://www.ieso.ca/en/Sector-Participants/Market-Operations/Transmission/Transmission-Projects
bc-crypto-mining-ban,BC Cryptocurrency Mining Connection Ban,Various,British Columbia,BC,49.282700,-123.120700,blocked,,,regulation,BC banned new cryptocurrency mining connections; legacy mining sites cannot expand or pivot without new allocation,https://news.gov.bc.ca/releases/2022EL0002-000380
hive-chateauguay-expansion,HIVE Châteauguay Expansion,HIVE Digital Technologies,Châteauguay,QC,45.380000,-73.750000,paused,30,,power,Expansion stalled amid Hydro-Québec large-load allocation uncertainty (SHARE Power at Risk case study),https://share.ca/wp-content/uploads/2026/02/SHARE-PoweratRisk-EN.pdf
